"","x"
"1","Baby, The (1973)"
"2","Shining, The (1980)"
"3","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
"4","Frankenstein (1931)"
"5","Exorcist, The (1973)"
"6","Bride of Frankenstein (1935)"
"7","Birds, The (1963)"
"8","Dracula (1931)"
"9","Misery (1990)"
"10","Wolf Man, The (1941)"
"11","American Werewolf in London, An (1981)"
"12","Halloween (1978)"
"13","Omen, The (1976)"
"14","Carrie (1976)"
"15","Body Snatcher, The (1945)"
"16","Pit and the Pendulum (1961)"
"17","Nightmare on Elm Street, A (1984)"
"18","Re-Animator (1985)"
"19","Hunger, The (1983)"
"20","Eyes Without a Face (1959)"
"21","Dracula (1958)"
"22","Vampyros Lesbos (Las Vampiras) (1970)"
"23","Son of Frankenstein (1939)"
"24","Black Sabbath (Tre Volti Della Paura, I) (1963)"
"25","Two Thousand Maniacs! (1964)"
"26","Howling, The (1980)"
"27","Creature From the Black Lagoon, The (1954)"
"28","Mummy, The (1959)"
"29","House on Haunted Hill (1958)"
"30","Texas Chainsaw Massacre, The (1974)"
"31","Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"32","Prophecy, The (1995)"
"33","Masque of the Red Death, The (1964)"
"34","House of Frankenstein (1944)"
"35","Cat People (1982)"
"36","Audrey Rose (1977)"
"37","Tingler, The (1959)"
"38","Creepshow (1982)"
"39","Frankenstein Meets the Wolf Man (1943)"
"40","Cronos (1992)"
"41","Tales From the Crypt Presents: Demon Knight (1995)"
"42","Hellraiser (1987)"
"43","Nosferatu a Venezia (1986)"
"44","Christine (1983)"
"45","Friday the 13th (1980)"
"46","Tales of Terror (1962)"
"47","Mummy's Curse, The (1944)"
"48","Blair Witch Project, The (1999)"
"49","Addiction, The (1995)"
"50","Inferno (1980)"
"51","City of the Living Dead (Paura nella città dei morti viventi) (1980)"
"52","Make Them Die Slowly (Cannibal Ferox) (1980)"
"53","Kronos (1973)"
"54","Damien: Omen II (1978)"
"55","Fury, The (1978)"
"56","Pet Sematary (1989)"
"57","Ilsa, She Wolf of the SS (1974)"
"58","Amityville Horror, The (1979)"
"59","Fog, The (1980)"
"60","Curse of Frankenstein, The (1957)"
"61","Candyman (1992)"
"62","Cat's Eye (1985)"
"63","Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)"
"64","Phantasm II (1988)"
"65","House of Dracula (1945)"
"66","Funhouse, The (1981)"
"67","Tales from the Darkside: The Movie (1990)"
"68","Vampires (1998)"
"69","Burnt Offerings (1976)"
"70","Mummy's Tomb, The (1942)"
"71","Relic, The (1997)"
"72","Asylum (1972)"
"73","Wes Craven's New Nightmare (1994)"
"74","Hellbound: Hellraiser II (1988)"
"75","Color Me Blood Red (1965)"
"76","Devil Rides Out, The (1968)"
"77","Son of Dracula (1943)"
"78","Ghost of Frankenstein, The (1942)"
"79","Halloween II (1981)"
"80","Exorcist III, The (1990)"
"81","Lord of Illusions (1995)"
"82","Child's Play (1988)"
"83","Anatomy (Anatomie) (2000)"
"84","Blood For Dracula (Andy Warhol's Dracula) (1974)"
"85","Mummy's Hand, The (1940)"
"86","Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)"
"87","Kindred, The (1986)"
"88","Horror Express (1972)"
"89","Gate, The (1987)"
"90","Nightmare on Elm Street 3: Dream Warriors, A (1987)"
"91","Night Flier (1997)"
"92","Phantasm IV: Oblivion (1998)"
"93","Sleepaway Camp (1983)"
"94","Trick or Treat (1986)"
"95","Bat, The (1959)"
"96","Phantasm III: Lord of the Dead (1994)"
"97","Tomb of Ligeia, The (1965)"
"98","Blood Feast (1963)"
"99","Tales from the Crypt Presents: Bordello of Blood (1996)"
"100","Prophecy II, The (1998)"
"101","Pumpkinhead (1988)"
"102","Creepshow 2 (1987)"
"103","Living Dead Girl, The (La Morte Vivante) (1982)"
"104","Eaten Alive (1976)"
"105","Mummy's Ghost, The (1944)"
"106","Phantoms (1998)"
"107","Friday the 13th Part 2 (1981)"
"108","Fear, The (1995)"
"109","Halloween 4: The Return of Michael Myers (1988)"
"110","Sleepwalkers (1992)"
"111","Don't Look in the Basement! (1973)"
"112","Texas Chainsaw Massacre 2, The (1986)"
"113","Prom Night (1980)"
"114","Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)"
"115","House on Haunted Hill, The (1999)"
"116","Fright Night Part II (1989)"
"117","Nightmares (1983)"
"118","Maximum Overdrive (1986)"
"119","Hell Night (1981)"
"120","Black Sunday (La Maschera Del Demonio) (1960)"
"121","Nightmare on Elm Street 4: The Dream Master, A (1988)"
"122","Body Parts (1991)"
"123","Hellraiser III: Hell on Earth (1992)"
"124","Rage: Carrie 2, The (1999)"
"125","Candyman: Farewell to the Flesh (1995)"
"126","Wishmaster (1997)"
"127","Urban Legends: Final Cut (2000)"
"128","Freddy's Dead: The Final Nightmare (1991)"
"129","Friday the 13th Part VI: Jason Lives (1986)"
"130","Friday the 13th: The Final Chapter (1984)"
"131","Friday the 13th Part VII: The New Blood (1988)"
"132","Halloween 5: The Revenge of Michael Myers (1989)"
"133","Child's Play 2 (1990)"
"134","Amityville II: The Possession (1982)"
"135","Hello Mary Lou: Prom Night II (1987)"
"136","Leatherface: Texas Chainsaw Massacre III (1990)"
"137","Halloween III: Season of the Witch (1983)"
"138","Friday the 13th Part V: A New Beginning (1985)"
"139","Pet Sematary II (1992)"
"140","Bad Moon (1996)"
"141","Sorority House Massacre (1986)"
"142","Deadly Friend (1986)"
"143","Nightmare on Elm Street 5: The Dream Child, A (1989)"
"144","Friday the 13th Part 3: 3D (1982)"
"145","Slumber Party Massacre II, The (1987)"
"146","Slumber Party Massacre, The (1982)"
"147","Child's Play 3 (1992)"
"148","Children of the Corn III (1994)"
"149","Amityville Curse, The (1990)"
"150","Friday the 13th Part VIII: Jason Takes Manhattan (1989)"
"151","Return of the Texas Chainsaw Massacre, The (1994)"
"152","Deadtime Stories (1987)"
"153","Castle Freak (1995)"
"154","Children of the Corn II: The Final Sacrifice (1993)"
"155","Children of the Corn IV: The Gathering (1996)"
"156","Sorority House Massacre II (1990)"
"157","Exorcist II: The Heretic (1977)"
"158","Howling II: Your Sister Is a Werewolf (1985)"
"159","Horror Hotel (a.k.a. The City of the Dead) (1960)"
"160","Slumber Party Massacre III, The (1990)"
"161","Amityville 1992: It's About Time (1992)"
"162","Prom Night IV: Deliver Us From Evil (1992)"
"163","Gate II: Trespassers, The (1990)"
"164","Amityville: Dollhouse (1996)"
"165","Bay of Blood (Reazione a catena) (1971)"
"166","Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969)"
"167","Amityville: A New Generation (1993)"
"168","Slaughterhouse (1987)"
"169","Autopsy (Macchie Solari) (1975)"
"170","Prom Night III: The Last Kiss (1989)"
"171","Amityville 3-D (1983)"
"172","Daughter of Dr. Jeckyll (1957)"
"173","Slaughterhouse 2 (1988)"
"174","Torso (Corpi Presentano Tracce di Violenza Carnale) (1973)"
"175","Blood Spattered Bride, The (La Novia Ensangrentada) (1972)"
"176","Kill, Baby... Kill! (Operazione Paura) (1966)"
"177","House of Exorcism, The (La Casa dell'esorcismo) (1974)"
"178","Anguish (Angustia) (1986)"
